documentType	response_error	uploadStatus	number_of_attempts	date(created_at)
Proof of Address	{"ProcessedId":"1251709","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}	1	3	2019-01-12
Proof of Address	{"ProcessedId":"1252186","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}	1	3	2019-01-12
CKYC PHOTO	{"ProcessedId":"1447626","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}	0	50	2019-01-12
CKYC PHOTO	{"ProcessedId":"1448504","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}	0	49	2019-01-12
CKYC PHOTO	{"ProcessedId":"1444426","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}	0	48	2019-01-12
CKYC PHOTO	{"ProcessedId":"1444802","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}	0	48	2019-01-12
