id	ins_id	ins_name	ins_type	is_active	ins_category
113	376	Nutan Nagarik Sahakari Bank Ltd., India	bank	1	1
114	502	Omkar Nagreeya Sahakari Bank, India	bank	1	1
115	254	Omprakash Deora Peoples Co-Op Bank Ltd, India	bank	1	1
116	29	Oriental Bank of Commerce, India	bank	1	1
117	266	Osmanabad Janata Sahakari Bank Ltd, India	bank	1	1
118	194	Pandharpur Urban Co-op Bank Ltd, India	bank	1	1
119	456	Panipat Urban Co-Op. Bank Ltd, India	bank	1	1
120	177	Parshwanath Co-Op. Bank Ltd., India	bank	1	1
121	462	Patan Nagarik Sahakari Bank Ltd, India	bank	1	1
122	268	Paytm Payments Bank, India	bank	1	1
123	255	Peoples Co-Op Bank Ltd, India	bank	1	1
124	505	Pimpri Chinchwad Sahakari Bank Maryadit Pimpri, India	bank	1	1
125	480	Pragati Sahakari Bank, India	bank	1	1
126	396	Prathama Bank , India	bank	1	1
127	525	Prerana Co-Op. Bank Ltd, India	bank	1	1
128	520	Prime Co-Op. Bank Ltd, India	bank	1	1
129	475	Progressive Merc. Co-Op. Bank Ltd, India	bank	1	1
130	189	Pune Peoples Co-Op Bank, India	bank	1	1
131	324	Pune Urban Co-Op Bank Ltd, India	bank	1	1
132	30	Punjab National Bank, India	bank	1	1
133	31	Punjab and Sind Bank, India	bank	1	1
134	471	Purvanchal Bank Ltd, India	bank	1	1
135	257	Pusad Urban Co-Op Bank Ltd, India	bank	1	1
136	81	RBL (Ratnakar) Bank, India	bank	1	1
137	48	RBS (ABN AMRO), India	bank	1	1
138	390	Rajasthan Marudhara Gramin Bank, India	bank	1	1
139	517	Rajkot Commercial Co-Op. Bank Ltd, India	bank	1	1
140	195	Rajkot Peoples Co-Op Bank Ltd., India	bank	1	1
141	527	Ramgarhia Co-Op. Bank Ltd, India	bank	1	1
142	467	SUCO Bank, India	bank	1	1
143	537	Sadhana Sahakari Bank Ltd, India	bank	1	1
144	535	Samata Sahkari Bank Ltd, India	bank	1	1
145	455	Sangli Urban Co-Op. Bank Ltd, India	bank	1	1
146	523	Sangola Urban Co-Op. Bank Ltd, India	bank	1	1
147	528	Sanmati Sahakari Bank Ltd, India	bank	1	1
148	344	Sarangpur Co-Op. Bank Ltd, India	bank	1	1
149	185	Saraspur Nagarik Co-Op Bank Ltd., India	bank	1	1
150	72	Saraswat Bank, India	bank	1	1
151	540	Sarva UP Gramin Bank Ltd, India	bank	1	1
152	393	Sarvodaya Sahakari Bank, India	bank	1	1
153	386	Saurashtra Gramin Bank, India	bank	1	1
154	532	Sharada Sahkari Bank Ltd, India	bank	1	1
155	506	Shirpur People Co-Op Bank Ltd, India	bank	1	1
156	258	Shivajirao Bhosale Sahakari Bank Ltd, India	bank	1	1
157	389	Shivalik Mercantile Co-Op. Bank Ltd, India	bank	1	1
158	375	Shree Co-Op. Bank Ltd, India	bank	1	1
159	349	Shree Kadi Nagarik Sahakari Bank Ltd, India	bank	1	1
160	524	Shree Mahesh Co-Op. Bank Ltd, India	bank	1	1
161	159	Shree Samarth Sahakari Bank, India	bank	1	1
162	522	Shri Anand Co-Op. Bank Ltd, India	bank	1	1
163	259	Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd, India	bank	1	1
164	518	Shri Veershaiv Co-Op. Bank Ltd, India	bank	1	1
165	478	Smriti Nagrik Sahakari Bank, India	bank	1	1
166	391	Solapur Janata Sahakari Bank, India	bank	1	1
167	52	South Indian Bank, India	bank	1	1
168	397	Sree Mahayogi Lakshmamma Co-Op. Bank Ltd, India	bank	1	1
169	32	Standard Chartered Bank, India	bank	1	1
170	35	State Bank of India, India	bank	1	1
171	481	Sterling Urban Co-Op Bank, India	bank	1	1
172	461	Sundarlal Sawji Urban Co-Op. Bank Ltd, India	bank	1	1
173	473	Surat District Co-Op. Bank Ltd, India	bank	1	1
174	464	Surat National Co-Op. Bank Ltd, India	bank	1	1
175	244	Surat Peoples Co-op Bank Ltd, India	bank	1	1
176	507	Suryoday Small Finance Bank Ltd, India	bank	1	1
177	41	Syndicate Bank, India	bank	1	1
178	75	Tamilnad Mercantile Bank Ltd., India	bank	1	1
179	500	Telangana Grameena Bank, India	bank	1	1
180	415	Texco Co-Op. Bank Ltd, India	bank	1	1
181	401	Textile Traders Co-Op. Bank Ltd, India	bank	1	1
182	226	Thane Bharat Sahakari Bank Ltd, India	bank	1	1
183	180	The Adinath Co-Operative Bank Ltd., India	bank	1	1
184	167	The Banaskantha Mercantile Co. Operative Bank Ltd, India	bank	1	1
185	168	The Bhuj Mercantile Coop.Bank Ltd., India	bank	1	1
186	162	The Co-Operative Bank of Rajkot, India	bank	1	1
187	188	The Financial Co-Op Bank Ltd., India	bank	1	1
188	169	The Gandhidham Mercantile Co-operative Bank Ltd., India	bank	1	1
189	170	The Gayatri Co-Operative Urban Bank Ltd., India	bank	1	1
190	154	The Kalupur Commercial Co.op. Bank Ltd., India	bank	1	1
191	176	The Karad Urban Co-op Bank, India	bank	1	1
192	91	The Mehsana Urban Co-op Bank Ltd., India	bank	1	1
193	190	The Sabarkantha District Central Co-Op Bank Ltd., India	bank	1	1
194	181	The Satara Sahakari Bank Ltd., India	bank	1	1
195	179	The Seva Vikas Co-Operative Bank Ltd., India	bank	1	1
196	512	Tumkur Grain Merchants Credit Co-Op. Bank Ltd, India	bank	1	1
197	416	Tumkur Merchants Credit Co-Op. Bank Ltd, India	bank	1	1
198	42	UCO Bank, India	bank	1	1
199	191	Ujjivan Bank, India	bank	1	1
200	514	Uma Co-Op. Bank Ltd, India	bank	1	1
201	43	Union Bank of India, India	bank	1	1
202	44	United Bank of India, India	bank	1	1
203	470	United Co-Op. Bank Ltd, India	bank	1	1
204	465	Utkarsh Small Finance Bank, India	bank	1	1
205	341	Uttarakhand Gramin Bank, India	bank	1	1
206	262	Vaidyanath Urban Co-op Bank Ltd, India	bank	1	1
207	454	Vaijapur Merchants Co-Op. Bank Ltd, India	bank	1	1
208	163	Vaishya Nagari Sahakari Bank, India	bank	1	1
209	157	Varachha Co-op Bank Ltd., India	bank	1	1
210	302	Vasai Vikas Sahakari Bank Ltd, India	bank	1	1
211	418	Veerashaiva Sahakari Bank Ltd, India	bank	1	1
212	511	Veraval Mercantile Co-Op Bank Ltd, India	bank	1	1
213	398	Vidarbha Merchants Urban Co-Op. Bank Ltd, India	bank	1	1
214	534	Vidya Sahkari Bank Ltd, India	bank	1	1
215	519	Vijay Co-Op. Bank Ltd, India	bank	1	1
216	45	Vijaya Bank, India	bank	1	1
217	171	Vikramaditya Nagrik Sahakari Bank, India	bank	1	1
218	457	Vishweshwar Sahakari Bank Ltd, India	bank	1	1
219	263	Vita Merchants Co-Op Bank Ltd, India	bank	1	1
220	198	Vysya Co-op Bank Ltd, India	bank	1	1
221	160	Wai Urban Co-Operative Bank, India	bank	1	1
222	46	Yes Bank, India	bank	1	1
223	184	Yeshwant Urban Co-Op Bank Ltd., India	bank	1	1
224	172	Zoroastrian Bank, India	bank	1	1
225	6	Andhra Bank, India	bank	1	2
226	2	Axis Bank, India	bank	1	2
227	8	Bank of Baroda, India	bank	1	2
228	9	Bank of India, India	bank	1	2
229	10	Bank of Maharashtra, India	bank	1	2
230	11	Canara Bank, India	bank	1	2
231	12	Central Bank of India, India	bank	1	2
232	14	Citibank, India	bank	1	2
233	57	City Union Bank, India	bank	1	2
234	15	Corporation Bank, India	bank	1	2
235	16	DBS Bank, India	bank	1	2
236	18	DCB, India	bank	1	2
237	17	Dena Bank, India	bank	1	2
238	49	Deutsche Bank, India	bank	1	2
239	19	Federal Bank, India	bank	1	2
240	20	HDFC Bank, India	bank	1	2
241	21	HSBC, India	bank	1	2
242	22	ICICI Bank, India	bank	1	2
243	23	IDBI, India	bank	1	2
244	140	IDFC Bank, India	bank	1	2
245	24	Indian Bank, India	bank	1	2
246	25	Indian Overseas Bank, India	bank	1	2
247	26	IndusInd Bank, India	bank	1	2
248	51	Karnataka Bank, India	bank	1	2
249	50	Karur Vysya Bank, India	bank	1	2
250	28	Kotak Mahindra Bank, India	bank	1	2
251	29	Oriental Bank of Commerce, India	bank	1	2
252	30	Punjab National Bank, India	bank	1	2
253	81	RBL (Ratnakar) Bank, India	bank	1	2
254	72	Saraswat Bank, India	bank	1	2
255	52	South Indian Bank, India	bank	1	2
256	32	Standard Chartered Bank, India	bank	1	2
257	35	State Bank of India, India	bank	1	2
258	41	Syndicate Bank, India	bank	1	2
259	75	Tamilnad Mercantile Bank Ltd., India	bank	1	2
260	42	UCO Bank, India	bank	1	2
261	43	Union Bank of India, India	bank	1	2
262	44	United Bank of India, India	bank	1	2
263	45	Vijaya Bank, India	bank	1	2
264	46	Yes Bank, India	bank	1	2
265	541	Agrasen Co-op Urban Bank Ltd, India	bank	1	1
266	542	Deendayal Nagari Sahakari Bank Ltd, India	bank	1	1
267	543	Gandhibag Sahakari Bank Ltd, India	bank	1	1
