id	scheme_id	scheme_desc	sch_id	max_amt_fin	min_amt_fin	min_int_rate	max_int_rate	min_tenure	max_tenure	tenure	min_irr	max_irr	scheme_start_date	scheme_end_date	lsm_lww_workflow_id_c	rest_fico_sch_flag	created_at	updated_at	node	loan_type	product_flag
1	6329	PRAGATI MBL-PLUS	314	1050000	100000	8	36	12	120	120	0	45	2018-12-27 05:24:29	2019-11-28 14:40:51	HL_FICO_WFL	Y	2018-12-27 00:00:00	2018-12-27 00:00:00	LAP	M	LAP
2	5509	PRAGATI MICRO BUSINESS LOAN - SECURED	314	1050000	200000	10	36	12	120	240	0	45	2018-12-28 08:37:32	2020-06-01 20:21:09	HL_FICO_WFL	Y	2018-12-27 00:00:00	2018-12-27 00:00:00	LAP	M	LAP
3	5307	PRAGATI MBL–UPTO 5 LACS REGISTERED GPA DELHI	314	525000	200000	10	36	12	48	48	0	45	2018-12-28 10:29:29	2019-05-04 05:10:44	HL_FICO_WFL	Y	2018-12-27 00:00:00	2018-12-27 00:00:00	LAP	M	LAP
4	4245	BIL-MICRO BUSINESS LOANS	313	525000	25000	10	35	12	36	36	10	35	2016-12-05 00:00:00	2099-01-01 00:00:00	HL_FICO_WFL	Y	2019-01-04 00:00:00	2019-01-04 00:00:00	BIL	O	BIL
5	8058	BIL-MBL INSTA LOAN	325	75000	25000	11.7	35	12	36	36	12	35	2010-01-01 00:00:00	2099-01-01 00:00:00	HL_FICO_WFL	Y	2019-01-04 00:00:00	2019-01-04 00:00:00	BIL	O	BIL
