id	is_active	created_at	updated_at	city	state	zone
101	1	NULL	NULL	VELLOR	TAMILNADU	SOUTH
102	1	NULL	NULL	SURAT	GUJARAT	WEST
103	1	NULL	NULL	GUWAHATI	ASSAM	EAST
104	1	NULL	NULL	JAIPUR	RAJASTHAN	NORTH
105	1	NULL	NULL	AHMEDABAD	GUJARAT	WEST
106	1	NULL	NULL	COIMBATORE	TAMILNADU	SOUTH
107	1	NULL	NULL	CHANDIGARH	CHANDIGARH	NORTH
108	1	NULL	NULL	AJMER	RAJASTHAN	NORTH
109	1	NULL	NULL	BHOPAL	MADHYA PRADESH	WEST
110	1	NULL	NULL	BHUBANESHWAR	ORISA	EAST
111	1	NULL	NULL	INDORE	MADHYA PRADESH	WEST
112	1	NULL	NULL	KANPUR	UTTAR PRADESH	NORTH
113	1	NULL	NULL	KOLHAPUR	MAHARASHTRA	WEST
114	1	NULL	NULL	KOTA	RAJASTHAN	NORTH
115	1	NULL	NULL	LUDHIANA	PUNJAB	NORTH
116	1	NULL	NULL	MYSORE	KARNATAKA	SOUTH
117	1	NULL	NULL	NAGPUR	MAHARASHTRA	WEST
118	1	NULL	NULL	PUNE	MAHARASHTRA	WEST
119	1	NULL	NULL	SILIGURI	WEST BENGAL	EAST
120	1	NULL	NULL	VISAKHAPATNAM	ANDHRA PRADESH	SOUTH
121	1	NULL	NULL	VIJAYAWADA	ANDHRA PRADESH	SOUTH
122	1	NULL	NULL	MADURAI	TAMILNADU	SOUTH
123	1	NULL	NULL	VELLORE	TAMILNADU	SOUTH
124	1	NULL	NULL	TRIVANDRUM	KERLA	SOUTH
125	1	NULL	NULL	UDAIPUR	RAJASTHAN	NORTH
126	1	NULL	NULL	PANIPAT	HARYANA	NORTH
127	1	NULL	NULL	BHARUCH	GUJARAT	WEST
128	1	NULL	NULL	DURGAPUR	WEST BENGAL	EAST
129	1	NULL	NULL	PONDICHERY	PUDUCHERRY(UT)	SOUTH
130	1	NULL	NULL	RANCHI	JHARKHAND	EAST
131	1	NULL	NULL	CALICUT	KERLA	SOUTH
132	1	NULL	NULL	AMBALA	HARYANA	NORTH
133	1	NULL	NULL	ANAND	GUJARAT	WEST
134	1	NULL	NULL	ROURKELA	ORISA	EAST
135	1	NULL	NULL	TIRUPUR	TAMILNADU	SOUTH
136	1	NULL	NULL	Mumbai	Maharashtra	WEST
137	1	NULL	NULL	AGRA	UTTAR PRADESH	NORTH
138	1	NULL	NULL	KARNAL	HARYANA	NORTH
139	1	NULL	NULL	BHAVNAGAR	GUJARAT	WEST
140	1	NULL	NULL	GURGAON	HARYANA	NORTH
