name	category	isActive	businessUnit	employer_id	code
ROTHE ERDE (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjQUAU	64424
ROTHENBERGER (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjRUAU	64425
ROTHSCHILD CONTINUATION	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjSUAU	64426
ROTO PUMPS LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjTUAU	64427
ROTORK CONTROLS (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjUUAU	64428
ROUDRY INFORMATION TECHNOLOGIES P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjVUAU	64429
ROULAC (I) INVESTMENT ADVISORY P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjWUAU	64430
ROULUNDSBREAKING I P LTD SONEPAT	CAT A	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjXUAU	64431
ROUSSEL (I) LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjYUAU	64432
ROUTAMS SLOUTIONS LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjZUAU	64433
ROUTE SMS SOLUTIONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjaUAE	64434
ROUTES TRAVEL LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjbUAE	64435
ROVER WRITING INSTRUMENTS	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjcUAE	64436
ROX TRADING AND SYSTEMS PVT LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjdUAE	64437
ROXER COM	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjeUAE	64438
ROXTEC (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjfUAE	64439
ROXUL ROCKWOOL INSULATION (I) P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjgUAE	64440
ROYAL AHOLD	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjhUAE	64441
ROYAL AND SUN ALLIANCE	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjiUAE	64442
ROYAL ARC ELECTRODES LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjjUAE	64443
ROYAL BANK OF CANADA	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjkUAE	64444
ROYAL BANK OF SCOTLAND	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjlUAE	64445
ROYAL CANIN (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjmUAE	64446
ROYAL CYBER P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjnUAE	64447
ROYAL DATAMATICS P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjoUAE	64448
ROYAL DISLERI PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjpUAE	64449
ROYAL DUTCH SHELL	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjqUAE	64450
ROYAL FORWARDERS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjrUAE	64451
ROYAL GOAN BEACH RESORTS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjsUAE	64452
ROYAL HYGIENE CARE PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjtUAE	64453
ROYAL INFO SERVICES PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjuUAE	64454
